Video,BlinkRate,AvgClosureDegree,MaxClosureFrames,ValidDuration,Blinks,Duration
IMG_8686_12.avi,1.084337349,0.25011989,38,2.766666667,3,4
IMG_8686_13.avi,1.428571429,0.228614784,28,2.1,3,2.1
IMG_8687_00.avi,1.794871795,0.262171606,36,3.9,7,4
IMG_8687_01.avi,0.75,0.239354111,42,4,3,4
IMG_8687_02.avi,0.75,0.246425459,66,4,3,4
IMG_8687_03.avi,0,0.19143779,56,1.866666667,0,1.866666667
IMG_8691_00.avi,0,0.321638931,2,2.066666667,0,4
IMG_8691_01.avi,0.25,0.355067766,5,4,1,4
IMG_8691_02.avi,1.260504202,0.300872771,15,3.966666667,5,4
IMG_8691_03.avi,1.25,0.282460429,27,4,5,4
IMG_8691_04.avi,1.008403361,0.294334347,15,3.966666667,4,4
IMG_8691_05.avi,2.25,0.278260761,17,4,9,4
IMG_8691_06.avi,1.25,0.32288808,6,4,5,4
IMG_8691_07.avi,0.75,0.330337009,6,4,3,4
IMG_8691_08.avi,1,0.303605394,17,4,4,4
IMG_8691_09.avi,1.794871795,0.296895575,9,3.9,7,4
IMG_8691_10.avi,1.061946903,0.301618097,12,3.766666667,4,4
IMG_8691_11.avi,1.75,0.298301042,14,4,7,4
IMG_8691_12.avi,1.25,0.299161207,18,4,5,4
IMG_8691_13.avi,0.5,0.340311803,7,4,2,4
IMG_8691_14.avi,2.25,0.287264171,10,4,9,4
IMG_8691_15.avi,2.079207921,0.293466076,12,3.366666667,7,4
IMG_8691_16.avi,0,0.348443063,1,0.766666667,0,0.933333333
IMG_8744_00.avi,1.25,0.306434957,4,4,5,4
IMG_8744_01.avi,1,0.310816889,4,4,4,4
IMG_8744_02.avi,1.25,0.303687621,9,4,5,4
IMG_8744_03.avi,2.75,0.271019702,30,4,11,4
IMG_8744_04.avi,1.260504202,0.270345761,41,3.966666667,5,4
IMG_8744_05.avi,2,0.263304263,17,4,8,4
IMG_8744_06.avi,1.538461538,0.249601406,24,3.9,6,4
IMG_8744_07.avi,0.5,0.247977601,69,4,2,4
IMG_8744_08.avi,0,0.205623791,120,4,0,4
IMG_8744_09.avi,0.504201681,0.192316908,85,3.966666667,2,4
IMG_8744_10.avi,0.25,0.201050646,108,4,1,4
IMG_8744_11.avi,0,0.212630228,120,4,0,4
IMG_8744_12.avi,0,0.188303814,45,1.5,0,1.5
IMG_8752_00.avi,2,0.277723,28,4,8,4
IMG_8752_01.avi,1,0.321156022,4,4,4,4
IMG_8752_02.avi,1,0.316251269,4,4,4,4
IMG_8752_03.avi,1.75,0.283826375,27,4,7,4
IMG_8752_04.avi,2,0.250463965,43,4,8,4
IMG_8752_05.avi,1.5,0.277019238,28,4,6,4
IMG_8752_06.avi,2.5,0.304238163,9,4,10,4
IMG_8752_07.avi,2,0.293998639,14,4,8,4
IMG_8752_08.avi,1,0.323698289,10,4,4,4
IMG_8752_09.avi,2.75,0.292562045,8,4,11,4
IMG_8752_10.avi,2.75,0.287577099,7,4,11,4
IMG_8752_11.avi,2.75,0.286824825,17,4,11,4
IMG_8752_12.avi,2.5,0.289569385,11,4,10,4
IMG_8752_13.avi,0.5,0.304010978,29,4,2,4
IMG_8752_14.avi,1.212121212,0.279243996,42,3.3,4,4
IMG_8752_15.avi,1.25,0.28570506,15,4,5,4
IMG_8752_16.avi,1.293103448,0.330348297,5,3.866666667,5,4
IMG_8752_17.avi,2.105263158,0.285079305,28,3.8,8,4
IMG_8752_18.avi,1.5,0.299325528,5,4,6,4
IMG_8752_19.avi,0.5,0.339283145,5,4,2,4
IMG_8752_20.avi,1.75,0.289439357,23,4,7,4
IMG_8752_21.avi,1.5,0.296853009,13,4,6,4
IMG_8752_22.avi,2.75,0.279421386,14,4,11,4
IMG_8752_23.avi,0.25,0.259933441,89,4,1,4
IMG_8752_24.avi,2,0.305930712,8,4,8,4
IMG_8752_25.avi,2,0.285016487,19,4,8,4
IMG_8752_26.avi,1,0.220083634,43,4,4,4
IMG_8752_27.avi,0.75,0.230370915,49,4,3,4
IMG_8752_28.avi,3,0.238953167,17,4,12,4
IMG_8752_29.avi,1,0.249695957,37,4,4,4
IMG_8752_30.avi,1.25,0.231994732,56,4,5,4
IMG_8752_31.avi,0.5,0.18308571,97,4,2,4
IMG_8752_32.avi,0,0.15922448,120,4,0,4
IMG_8752_33.avi,0.5,0.194682358,104,4,2,4
IMG_8752_34.avi,0.833333333,0.203017722,55,3.6,3,3.6
